can I have a pizza,pizza
what is the best italian resaurant,italian
can you get me chinese please,chinese
I want pizza hut,pizza hut
I want burritos,burritos
what is a good burger place,burger
Can I get tacos,tacos
"Could I get some olive garden, please?",olive garden
Do you mind finding a good chinese place?,chinese
Can I get a milkshake?,milkshake
Could I get food from the winking lizard?,the winking lizard
Could I possibly get some melt?,melt
Is it all right if I get some ribs?,ribs
Do you think I could get some bananas?,bananas
Do you mind getting me a sandwhich?,sandwhich
Can you find me some hot dogs?,hot dogs
Could you buy me a coffee?,coffee
Do you think you could get me some conflict kitchen?,conflict kitchen
Will you get me meat & potatoes?,meat & potatoes
Would you bring me some Il Pizzaiolo?,Il Pizzaiolo
I could go for a smoothie,smoothie
How about some tacos?,tacos
How about some pizza?,pizza
Could you order me a cake?,cake
Brownies sound good,Brownies
I want pie,pie
Meatballs please,Meatballs
Order me some Sienna Mercato,Sienna Mercato
Can I get a hoagie?,hoagie
How about ice cream?,ice cream
Where can I get steak?,steak
Could you find me some shrimp?,shrimp
cn u get me sum pizza,pizza
plz get me burgers,burgers
hows about fish,fish
Can I get a pizza?,pizza
Can I have a pizza?,pizza
I'll have a pizza.,pizza
I want a pizza!!,pizza
may I have a pizza?,pizza
pizza please :),pizza
can I get a pizza up in here,pizza
just get me a pizza,pizza
IIII wannntttt pizzzzaaaaa nowwwwww,pizzzzaaaaa
pizza sounds good right about now,pizza
pizza hut is probably a good idea,pizza hut
ill have pizza,pizza
any recomendations on pizza places?,pizza
do you know any good asian restuarants,asian
im in the mood for some pizza,pizza
I would like to get my hands on some pizza,pizza
couldya please get me a pizza,pizza
I have a hankering for some pizza,pizza
i'm hungry for pizza,pizza
I am in the mood for something cheesy,cheesy
im in the mood for some chinese,chinese
I want hot dogs,hot dogs
how about pizza,pizza
I want pizza hut,pizza hut
I want winking lizard,winking lizard
I'm in the mood for chinese,chinese
Bring me pizza,pizza
I want ice cream ,ice cream
french fries nowwww,french fries
cinnamon buns would be so tasty right about now,cinnamon buns
yes now how about cheese puffs?,cheese puffs
I fuck you get me pizza hut now,pizza hut
My favorite food is pizza. BITCH. Get me some right now or ill fuck you in the asshole,pizza
today is my birthday. Ill have the usual,usual
Ive never tried cow testicals i need some now ,cow testicals
i need a large pizza,large pizza
i love the taste of pizza. Find me something similar,pizza
i love burritos. Find me something similar,burritos
i need food for a romantic dinner for nicks mom,romantic dinner
you wanna buy som pot bruh,pot
Get me a burrito ,burrito
I want pizza,pizza
I want lasagna ,lasagna
I need me some ice cream ,ice cream
I would like a taco ,taco
Chipotle niw,Chipotle
Gimme some sushi,sushi
I want pizza and I want it now ,pizza
Gimme some chili cheese fries,chili cheese fries
Bacon please,Bacon
Sushi I was I need ,Sushi
Meatballs sound tasty ,Meatballs
I want some baby back baby back ribs ,baby back baby back ribs
Roast beef please,Roast beef
I need me some chocolate ,chocolate
I would like a chocolate cupcake ,chocolate cupcake
Gimme fries ,fries
Gimme a burger ,burger
Gimme cheese ,cheese
I want bread ,bread
I want a banana ,banana
I want apples ,apples
I want Apple pie ,Apple pie
Gimme a ham sandwich ,ham sandwich
Gimme subway ,subway
I want a slice of banana bread,slice of banana bread
I want a popsicle ,popsicle
Milkshake!!!!,Milkshake
Chocolate pudding is what I want ,Chocolate pudding
GIVE ME COFFEE ,COFFEE
I WANT PIZZA!!,PIZZA
I WANT A TACO,TACO
What is the best Mexican restaurant,Mexican restaurant
i need some of that pizza,pizza
can i has hotdog?,hotdog
can i have a hotdog?,hotdog
can i has taco,taco
can i has burrito?,burrito
i want a burrito,burrito
and some chips and salsa too,chips and salsa
you know what, i want 9000 potatoes.,potatoes
fish and chips,fish and chips
do you have wine?,wine
what about soda,soda
i'm a hungering for some candy,candy
i want a steak burrito ,steak burrito
fill my belly with peas and jelly!,peas and jelly
i demand freshly squeezed orange juice,freshly squeezed orange juice
i need pizza,pizza
wheres the best pizza place around here,pizza
i need to find a place that sells groceries,groceries
what sells sub sandwiches around here ,sub sandwiches
i want french toast,french toast
i want a french roll,french roll
i need breakfast foods,breakfast foods
where is siracha sold around here,siracha
i want steak,steak
can i get a pizza?,pizza
fuck you give me a pizza,pizza
hamburger,hamburger
give me pizza ,pizza
i want dicks,dicks
i want veiny dicks in my mouth,veiny dicks
get me a gyro,gyro
wings,wings
some chicken would be nice,chicken
sushi is good, but tacos are better,sushi tacos
i want a kebab,kebab
i want a blowjob,blowjob
can i have a smoothie?,smoothie
is froyo available?,is froyo
can i have some froyo?,froyo
tater tots come my way,tater tots
tater tots please,tater tots
can i have tater tots?,tater tots
get me gummy bears?,gummy bears
get me gummy bears,gummy bears
bring candy apples to me,candy apples
can i have some candy apples,candy apples
candy please,candy
can you get me candy apples?,candy apples
can you get me a candy apple?,candy apple
can you get me a caramel apple?,caramel apple
can i have a caramel apple?,caramel apple
please bring me a caramel apple,caramel apple
i want thai food,thai
i want peanut sauce pasta,peanut sauce pasta
can i have a peanut butter and jelly sandwich?,peanut butter and jelly sandwich
get me some pb and j,pb and j
peanut butter and jelly sandwich,peanut butter and jelly sandwich
can i have a turkey sandwich?,turkey sandwich
can i have a turkey sandwich and fries?,turkey sandwich and fries
fries,fries
chili cheese fries,chili cheese fries
