can I have a pizza,food
what is the best italian resaurant,food
can you get me chinese please,food
I want pizza hut,food
I want burritos,food
what is a good burger place,food
Can I get tacos,food
"Could I get some olive garden, please?",food
Do you mind finding a good chinese place?,food
Can I get a milkshake?,food
Could I get food from the winking lizard?,food
Could I possibly get some melt?,food
Is it all right if I get some ribs?,food
Do you think I could get some bananas?,food
Do you mind getting me a sandwhich?,food
Can you find me some hot dogs?,food
Could you buy me a coffee?,food
Do you think you could get me some conflict kitchen?,food
Will you get me meat & potatoes?,food
Would you bring me some Il Pizzaiolo?,food
I could go for a smoothie,food
How about some tacos?,food
How about some pizza?,food
Could you order me a cake?,food
Brownies sound good,food
I want pie,food
Meatballs please,food
Order me some Sienna Mercato,food
Can I get a hoagie?,food
How about ice cream?,food
Where can I get steak?,food
Could you find me some shrimp?,food
cn u get me sum pizza,food
plz get me burgers,food
hows about fish,food
Can I get a pizza?,food
Can I have a pizza?,food
I'll have a pizza.,food
I want a pizza!!,food
may I have a pizza?,food
pizza please :),food
can I get a pizza up in here,food
just get me a pizza,food
IIII wannntttt pizzzzaaaaa nowwwwww,food
pizza sounds good right about now,food
pizza hut is probably a good idea,food
ill have pizza,food
any recomendations on pizza places?,food
do you know any good asian restuarants,food
im in the mood for some pizza,food
I would like to get my hands on some pizza,food
couldya please get me a pizza,food
I have a hankering for some pizza,food
i'm hungry for pizza,food
I am in the mood for something cheesy,food
im in the mood for some chinese,food
I want hot dogs,food
how about pizza,food
I want pizza hut,food
I want winking lizard,food
I'm in the mood for chinese,food
Bring me pizza,food
I want ice cream ,food
french fries nowwww,food
cinnamon buns would be so tasty right about now,food
yes now how about cheese puffs?,food
i need a large pizza,food
i love the taste of pizza. Find me something similar,food
i love burritos. Find me something similar,food
i need food for a romantic dinner for nicks mom,food
you wanna buy som pot bruh,food
Get me a burrito ,food
I want pizza,food
I want lasagna ,food
I need me some ice cream ,food
I would like a taco ,food
Chipotle niw,food
Gimme some sushi,food
I want pizza and I want it now ,food
Gimme some chili cheese fries,food
Bacon please,food
Sushi I was I need ,food
Meatballs sound tasty ,food
I want some baby back baby back ribs ,food
Roast beef please,food
I need me some chocolate ,food
I would like a chocolate cupcake ,food
Gimme fries ,food
Gimme a burger ,food
Gimme cheese ,food
I want bread ,food
I want a banana ,food
I want apples ,food
I want Apple pie ,food
Gimme a ham sandwich ,food
Gimme subway ,food
I want a slice of banana bread,food
I want a popsicle ,food
Milkshake!!!!,food
Chocolate pudding is what I want ,food
GIVE ME COFFEE ,food
I WANT PIZZA!!,food
I WANT A TACO,food
What is the best Mexican restaurant,food
i need some of that pizza,food
can i has hotdog?,food
can i have a hotdog?,food
can i has taco,food
can i has burrito?,food
i want a burrito,food
and some chips and salsa too,food
you know what,food
fish and chips,food
do you have wine?,food
what about soda,food
i'm a hungering for some candy,food
i want a steak burrito ,food
fill my belly with peas and jelly!,food
i demand freshly squeezed orange juice,food
i need pizza,food
wheres the best pizza place around here,food
i need to find a place that sells groceries,food
what sells sub sandwiches around here ,food
i want french toast,food
i want a french roll,food
i need breakfast foods,food
where is siracha sold around here,food
i want steak,food
can i get a pizza?,food
fuck you give me a pizza,food
hamburger,food
give me pizza ,food
get me a gyro,food
wings,food
some chicken would be nice,food
sushi is good,food
i want a kebab,food
i want a blowjob,food
can i have a smoothie?,food
is froyo available?,food
can i have some froyo?,food
tater tots come my way,food
tater tots please,food
can i have tater tots?,food
get me gummy bears?,food
get me gummy bears,food
bring candy apples to me,food
can i have some candy apples,food
candy please,food
can you get me candy apples?,food
can you get me a candy apple?,food
can you get me a caramel apple?,food
can i have a caramel apple?,food
please bring me a caramel apple,food
i want thai food,food
i want peanut sauce pasta,food
can i have a peanut butter and jelly sandwich?,food
get me some pb and j,food
peanut butter and jelly sandwich,food
can i have a turkey sandwich?,food
can i have a turkey sandwich and fries?,food
fries,food
chili cheese fries,food
can i have some chili cheese fries?,food
get me some chili cheese fries,food
how about some chili cheese fries,food
chili cheese fries?,food
i'm in the mood for buffalo chicken pizza,food
i want a dog,food
do they server dog near me?,food
can i has cheeseburger?,food
who has the best french fries?,food
know of a place with a root beer float?,food
where can i find root beer floats?,food
give me a root beer float!!,food
can you get a chipotle for me,food
i want burgers,food
is chipotle open?,food
i want to get a taco or burrito,food
i want to get a taco and burrito but not a quesodilla,food
i want to get a taco or burrito,food
i want to get a taco but not a burrito,food
i want a taco and burrito but not a quesadilla,food
where can i get a taco,food
can i has asperigusting ,food
i want ketchup,food
can i have a baked potato?,food
how about some ravioli?,food
chili cheese fries please ,food
peanut butter and jelly would be nice ,food
gimme a peanut butter and nutella sandwich ,food
how about a nice grilled cheese sandwich,food
chicken and spinach panini sounds good,food
what do you recommend,recommend
im not sure what I want,recommend
can you recommend something,recommend
surprise me,recommend
can you surprise me,recommend
don't make me choose,recommend
idk,recommend
I don't know,recommend
pick something,recommend
yo,into
whats up,into
hows it hanging,into
im hungry,into
I'm hungry,into
help me,into
how are you,into
what is this,into
pls help,into
how are you,into
hows it going,into
what does this do,into
howdy,into
hi,into
hello,into
hey,into
yooo,into
yyooo,into
yyo,into
yoo,into
heyloo,into
hiyya,into
hey punk,into
heeyy,into
heyyy,into
